warehouse_name,sku_id,order_date,min,max,mean,std,price_diff
India,0015347,2022-10-15,226.79999999999998,3528.96,1877.88,2334.9797285629697,3302.16
India,0072cca,2022-09-01,710.0,2115.0,2053.913043478261,292.9627517501901,1405.0
India,0072cca,2022-09-02,710.0,2115.0,1967.1052631578948,442.9989835374396,1405.0
India,0072cca,2022-09-03,705.0,2115.0,1921.0344827586207,493.4976829268677,1410.0
India,0072cca,2022-09-04,710.0,2115.0,1334.4444444444443,740.5000187560955,1405.0
India,0072cca,2022-09-05,710.0,2115.0,1834.0,628.3351016774409,1405.0
India,0072cca,2022-09-06,710.0,2115.0,1740.3333333333333,643.1214800449742,1405.0
India,0072cca,2022-09-07,710.0,2115.0,1412.5,740.5000187560955,1405.0
India,0072cca,2022-09-08,710.0,2115.0,1412.5,993.4850275670992,1405.0
India,0072cca,2022-09-09,710.0,2115.0,1713.5714285714287,685.5698012463446,1405.0
India,0072cca,2022-09-12,710.0,2115.0,1178.3333333333333,811.1771282114242,1405.0
India,0072cca,2022-09-20,714.01,2130.0,1927.7157142857143,535.1939141363356,1415.99
India,0072cca,2022-09-24,714.01,2130.0,1776.0025,707.995,1415.99
India,0072cca,2022-09-26,710.0,2115.0,2032.3529411764705,335.5597659229111,1405.0
India,0072cca,2022-10-07,710.0,2115.0,1914.2857142857142,531.0400845779642,1405.0
India,0072cca,2022-10-30,710.0,2115.0,1914.2857142857142,531.0400845779642,1405.0
India,0072cca,2022-10-31,710.0,2115.0,1412.5,811.1771282114242,1405.0
India,0072cca,2022-11-01,705.0,2115.0,1777.6,612.789251428798,1410.0
India,0072cca,2022-11-11,710.0,2130.0,2059.0,317.52165280497013,1420.0
India,0072cca,2022-11-12,710.0,2130.0,1280.0,775.9429747088377,1420.0
India,0072cca,2023-09-18,715.0,2130.0,1713.8235294117646,664.5805289141149,1415.0
India,0072cca,2023-09-24,715.0,2130.0,1937.0454545454545,491.2055864079655,1415.0
India,0072cca,2023-10-28,720.0,2145.0,1899.3103448275863,547.8068679124237,1425.0
India,0072cca,2023-10-29,720.0,2145.0,1941.4285714285713,510.9602304904533,1425.0
India,0072cca,2023-10-30,1430.0,2145.0,1787.5,505.58134854838147,715.0
India,0072cca,2023-11-03,720.0,2145.0,1933.888888888889,515.8699398800001,1425.0
India,0072cca,2023-11-04,720.0,2145.0,2021.0869565217392,410.54829336604325,1425.0
India,0072cca,2023-11-05,720.0,2145.0,1670.0,735.8668357794093,1425.0
India,0085272,2022-11-14,250.32,7862.400000000001,5325.04,4394.836437092968,7612.080000000001
India,0085272,2022-11-15,250.32,250.32000000000002,250.32000000000002,1.2710574864626037e-14,2.842170943040401e-14
India,0085272,2022-11-18,250.32,7862.400000000001,4056.3600000000006,4394.836437092967,7612.080000000001
India,0085272,2022-11-25,250.32,7862.400000000001,1337.76,2877.095805704079,7612.080000000001
India,0085272,2023-10-20,246.48,492.96,391.41499999999996,125.50150861099783,246.48
India,0085272,2023-10-28,248.52,487.92,380.19,122.19401785684926,239.4
India,0085272,2023-10-29,243.96,487.92,397.575,124.69588686079423,243.96
India,0085272,2023-10-30,248.52,487.92,348.27,123.27391894033826,239.4
India,0085272,2023-11-02,248.52,487.92,392.16,131.12478026673676,239.4
India,0085272,2023-11-03,248.52,487.92,428.07,110.82066594277441,239.4
India,0085272,2023-11-04,248.52,487.92,440.03999999999996,107.06293476268992,239.4
India,010448b,2023-09-05,225.45,664.0500000000001,517.85,253.22582806656982,438.6000000000001
India,010448b,2023-11-03,510.96,2530.8,1184.24,1166.1551677199739,2019.8400000000001
India,010448b,2023-11-30,510.96,2530.8,1520.88,1428.242560911836,2019.8400000000001
India,011a6d6,2022-11-18,403.20000000000005,403.2000000000001,403.20000000000005,5.684341886080802e-14,5.684341886080802e-14
India,013e90b,2023-09-01,885.6600000000001,885.6600000000002,885.6600000000001,0.0,1.1368683772161603e-13
India,013e90b,2023-09-09,450.96,885.6600000000001,595.86,250.97416201673036,434.7000000000001
India,013e90b,2023-09-15,147.61,885.6600000000001,516.635,521.8801598547315,738.0500000000001
India,013e90b,2023-09-24,405.27,795.96,535.5,225.56497666969491,390.69000000000005
India,013e90b,2023-09-26,405.27,795.96,600.615,276.2595483417723,390.69000000000005
India,013e90b,2023-10-28,392.60999999999996,785.22,590.715,224.61426201379112,392.61000000000007
India,013e90b,2023-10-29,399.81000000000006,785.22,592.5150000000001,272.5260245371073,385.40999999999997
India,013e90b,2023-10-30,261.74,785.22,557.9975000000001,268.3604047265543,523.48
India,013e90b,2023-11-05,399.81000000000006,785.22,592.5150000000001,272.5260245371073,385.40999999999997
India,013e90b,2023-11-07,399.81000000000006,785.22,592.5150000000001,272.5260245371072,385.40999999999997
India,013e90b,2023-11-08,399.81000000000006,785.22,592.5150000000001,272.5260245371072,385.40999999999997
India,0168bcc,2023-09-18,530.34,2082.24,1047.64,895.9898827553801,1551.8999999999996
India,01bf753,2023-10-30,265.4,781.65,523.525,365.0438757875552,516.25
India,01ea600,2023-09-18,658.4399999999999,6465.9,1384.3725,2053.2471737348133,5807.46
India,0228e7c,2023-11-03,453.8,890.8,672.3,309.0056633785212,436.99999999999994
India,0228e7c,2023-11-05,453.8,890.8,672.3,309.00566337852126,436.99999999999994
India,02475da,2022-09-26,404.46000000000004,4762.8,2583.63,3081.8117687165777,4358.34
India,02475da,2022-09-27,404.46,4762.8,1857.24,2516.288772219914,4358.34
India,02475da,2022-09-28,396.90000000000003,4762.8,2146.284,2388.5433861414367,4365.900000000001
India,02475da,2022-09-30,404.46,404.46000000000004,404.46000000000004,5.684341886080802e-14,5.684341886080802e-14
India,02475da,2022-10-07,404.46,404.46000000000004,404.46,3.2818563180946156e-14,5.684341886080802e-14
India,026766f,2022-09-26,381.42,1497.12,753.32,644.1496953348653,1115.6999999999998
India,026766f,2022-09-27,374.28,381.42,379.03999999999996,4.122280922013957,7.140000000000043
India,026766f,2023-09-24,388.44,1525.68,767.52,656.5858201332101,1137.24
India,026766f,2023-10-03,257.76,1518.48,718.6199999999999,695.373625901932,1260.72
India,0282337,2023-09-05,163.8,631.2,279.15000000000003,160.8670702341355,467.40000000000003
India,0282337,2023-09-06,163.8,315.6,277.65000000000003,70.26974557273667,151.8
India,0282337,2023-09-07,163.8,315.6,239.70000000000002,107.33880938411792,151.8
India,0282337,2023-09-29,163.8,315.6,239.70000000000002,107.33880938411792,151.8
India,02c1ca5,2023-09-03,337.55,994.05,665.8,464.2156018489684,656.5
India,02c1ca5,2023-09-04,337.55,994.05,456.9136363636364,265.567325824271,656.5
India,02c1ca5,2023-09-05,331.34999999999997,994.05,664.25,380.82864913238865,662.7
India,02c1ca5,2023-09-06,337.55,994.05,556.3833333333333,379.0304517229893,656.5
India,02c1ca5,2023-09-16,337.55,994.05,862.75,293.5957254457224,656.5
India,02c1ca5,2023-09-17,337.55,994.05,556.3833333333333,339.0151422380225,656.5
India,02c1ca5,2023-09-18,337.55,994.05,665.8,464.21560184896845,656.5
India,02c1ca5,2023-09-19,337.55,994.05,695.6409090909091,342.84594340474683,656.5
India,02c1ca5,2023-09-24,339.5,999.9,669.7,466.973318295596,660.4
India,02c1ca5,2023-10-02,339.75,1000.65,890.5,269.8112951675671,660.9
India,02c1ca5,2023-10-04,339.5,339.75,339.625,0.1767766952966369,0.25
India,02c1ca5,2023-10-10,339.5,999.9,669.7,381.2821177728289,660.4
India,02c1ca5,2023-10-11,339.5,999.9,471.58000000000004,295.3398584681722,660.4
India,02c1ca5,2023-10-20,339.5,999.9,559.6333333333333,381.2821177728288,660.4
India,02c1ca5,2023-11-02,339.5,999.9,668.6666666666666,330.2048505599718,660.4
India,02e979a,2022-10-09,390.33,3065.52,925.368,1196.3813385455323,2675.19
India,02e979a,2022-10-10,390.33,3065.52,1727.925,1891.6449899624401,2675.19
India,02e979a,2022-10-13,390.33,3065.52,1727.925,1891.6449899624401,2675.19
India,02fe087,2023-09-09,259.14,508.68,425.5,144.0719861735792,249.54000000000002
India,02fe087,2023-09-17,259.14,508.68,383.90999999999997,176.4514261772911,249.54000000000002
India,02fe087,2023-09-30,259.14,508.68,383.90999999999997,176.4514261772911,249.54000000000002
India,02fe087,2023-10-20,508.68,516.12,512.4,4.2954860027708035,7.439999999999998
India,02fe087,2023-10-28,516.12,6078.24,2105.2971428571427,2714.036656874248,5562.12
India,030c4f4,2023-09-01,389.79,779.58,584.6850000000001,275.62315223870434,389.79
India,030c4f4,2023-10-29,392.67,771.1800000000002,645.0100000000001,218.53285039096525,378.51000000000016
India,030c4f4,2023-10-30,771.18,771.1800000000001,771.1800000000001,1.1368683772161603e-13,1.1368683772161603e-13
India,030c4f4,2023-11-04,389.76,765.48,640.24,216.92204313992622,375.72
India,030c4f4,2023-11-16,389.76,765.48,577.62,265.67415982740965,375.72
India,034c4a8,2022-10-03,279.42,3290.4,1784.91,2129.084376017071,3010.98
India,034c4a8,2022-10-13,279.42,3290.4,1283.0800000000002,1738.3901135245794,3010.98
India,042069d,2022-10-28,525.0,1546.2,1205.8,527.3454124196019,1021.2
India,042069d,2022-11-05,525.0,1546.2,1035.6,722.0974449477022,1021.2
India,042069d,2022-11-09,525.0,1546.2,1137.72,559.3342757242756,1021.2
India,042069d,2022-11-25,525.0,1546.2,865.4,589.5900948964457,1021.2
India,043f2b0,2023-11-22,577.1999999999999,3374.4,1323.12,1280.3839174247698,2797.2000000000003
India,0473e88,2023-10-20,793.5,3036.0,1354.125,1121.25,2242.5
India,0473e88,2023-10-28,793.5,3036.0,1242.0,1002.8764879086557,2242.5
India,0473e88,2023-10-29,793.5,3036.0,1541.0,1294.7079786577358,2242.5
India,0473e88,2023-10-30,793.5,3036.0,1434.2142857142858,1094.227956793543,2242.5
India,047d8f3,2023-10-28,228.24,448.04,338.14,155.42207050480317,219.8
India,04ca826,2022-10-09,494.4,2910.9,1299.8999999999999,1395.1669254967308,2416.5
India,04ca826,2022-10-10,494.3999999999999,2910.9,1702.6499999999999,1323.571560211234,2416.5
India,04ca826,2022-10-13,485.15,494.4,491.3166666666666,5.340489990004034,9.25
India,04ca826,2022-10-18,494.4,3071.3999999999996,937.525,1045.4662207599058,2576.9999999999995
India,04ca826,2022-10-27,521.65,3071.4,2433.9625,1274.875,2549.75
India,04ca826,2022-10-31,521.65,3071.4,1796.525,1802.9455153303995,2549.75
India,04ca826,2022-11-11,519.0,3071.4,1029.48,1141.4679811540925,2552.4
India,04ca826,2022-11-12,519.0,3056.3999999999996,881.4857142857143,959.0470538136129,2537.3999999999996
India,04ca826,2022-11-17,519.0,3056.4,881.4857142857143,959.0470538136132,2537.4
India,060e232,2023-09-19,180.6,708.96,268.66,215.70206674948668,528.36
India,060e232,2023-09-24,180.6,3190.3199999999997,1183.84,1737.6626521854002,3009.72
India,060e232,2023-09-26,180.6,3190.32,1183.84,1737.6626521854005,3009.7200000000003
India,060e232,2023-09-29,89.82,352.56,264.98,151.69300972688228,262.74
India,060e232,2023-10-10,88.08,352.32,202.01999999999998,140.5939429705277,264.24
India,060e232,2023-10-11,89.69999999999999,352.32,221.01,185.70038287521112,262.62
India,060e232,2023-10-17,88.08,89.69999999999999,88.88999999999999,1.1455129855222053,1.6199999999999903
India,060e232,2023-10-20,88.08,352.32,220.605,152.0928193571281,264.24
India,060e232,2023-10-28,178.92000000000002,351.36,282.384,94.44927781619086,172.44
India,060e232,2023-10-29,178.92000000000002,351.36,293.88,89.04763309600092,172.44
India,060e232,2023-11-04,234.24,527.04,380.64,207.04086553142108,292.79999999999995
India,0650a26,2023-10-28,321.76,643.52,563.0799999999999,160.88,321.76
India,0650a26,2023-10-30,327.8,643.52,538.28,182.28102698854863,315.71999999999997
India,0650a26,2023-11-03,727.11,1903.2,1119.14,679.015878091227,1176.0900000000001
India,06ac655,2023-10-28,432.0,1260.0,708.0,478.04602288901015,828.0
India,07eb958,2023-09-09,124.8,183.9,154.35,41.79001076812496,59.10000000000001
India,07eb958,2023-09-15,122.6,183.9,163.46666666666667,35.391571501324066,61.30000000000001
India,0801209,2022-11-11,292.52,6890.88,4691.426666666667,3809.564922210059,6598.360000000001
India,0801209,2022-11-12,292.52,6890.88,763.8314285714285,1763.4858881852642,6598.360000000001
India,0801209,2022-11-13,292.52,6890.88,2491.9733333333334,3809.564922210059,6598.360000000001
India,0801209,2022-11-14,292.52,6890.88,3591.7000000000003,3526.9717763705285,6598.360000000001
India,0801209,2022-11-15,287.12,292.52,291.16999999999996,2.6999999999999873,5.399999999999977
India,0801209,2022-11-21,287.12,292.52000000000004,291.84499999999997,1.9091883092036723,5.400000000000034
India,082a20c,2023-10-28,359.85,1060.2,760.0500000000001,374.35282154673286,700.35
India,082a20c,2023-10-29,359.84999999999997,1060.2,760.0500000000001,374.3528215467328,700.3500000000001
India,082a20c,2023-10-30,353.4,1060.2,708.9499999999999,384.7823046866891,706.8000000000001
India,082a20c,2023-11-02,353.4,1060.2,591.15,406.2220174978211,706.8000000000001
India,082a20c,2023-11-16,360.0,1057.5,621.5625,360.9905457309691,697.5
India,082a20c,2023-11-22,360.0,1059.75,709.875,383.26885961424,699.75
India,085061e,2023-09-09,950.28,2799.9,1875.0900000000001,1307.8788446182623,1849.6200000000001
India,085061e,2023-11-02,906.42,1796.28,1203.04,513.7609105410804,889.86
India,085061e,2023-11-08,906.42,1796.28,1203.04,513.7609105410804,889.86
India,085061e,2023-11-22,906.42,1796.28,1440.336,487.3963950215471,889.86
